"도형번호","지형지물부호","행정구역구분","행정구역명"
1,EA001,EAO014,화성시
2,EA001,EAO017,우정읍
3,EA001,EAO019,서신면
4,EA001,EAO018,병점1동
5,EA001,EAO018,동탄3동
6,EA001,EAO018,진안동
7,EA001,EAO018,반월동
8,EA001,EAO018,화산동
9,EA001,EAO018,기배동
10,EA001,EAO018,동탄2동
11,EA001,EAO018,동탄1동
12,EA001,EAO018,동탄6동
13,EA001,EAO018,동탄4동
14,EA001,EAO018,동탄5동
15,EA001,EAO018,동탄7동
16,EA001,EAO018,동탄8동
17,EA001,EAO019,송산면
18,EA001,EAO019,마도면
19,EA001,EAO017,남양읍
20,EA001,EAO019,장안면
21,EA001,EAO019,팔탄면
22,EA001,EAO019,비봉면
23,EA001,EAO017,향남읍
24,EA001,EAO019,양감면
25,EA001,EAO019,정남면
26,EA001,EAO017,봉담읍
27,EA001,EAO019,매송면
28,EA001,EAO018,새솔동
29,EA001,EAO018,병점2동
