"도형번호","지형지물부호","법정동리코드","법정동리명"
75,UC400,"4159035031",궁평리
76,UC400,"4159035032",백미리
77,UC400,"4159036021",하저리
78,UC400,"4159036022",창곡리
79,UC400,"4159036023",기천리
80,UC400,"4159036024",가재리
81,UC400,"4159036025",구장리
82,UC400,"4159036026",율암리
83,UC400,"4159036027",노하리
84,UC400,"4159036028",덕천리
85,UC400,"4159037027",사랑리
86,UC400,"4159037028",금의리
87,UC400,"4159037029",사곡리
88,UC400,"4159037030",노진리
89,UC400,"4159040021",신왕리
90,UC400,"4159040022",사창리
91,UC400,"4159040023",정문리
92,UC400,"4159040024",송산리
93,UC400,"4159040025",용소리
94,UC400,"4159040026",요당리
95,UC400,"4159040027",대양리
96,UC400,"4159041021",발산리
97,UC400,"4159041022",괘랑리
98,UC400,"4159041023",보통리
99,UC400,"4159041024",관항리
100,UC400,"4159041025",오일리
101,UC400,"4159041026",백리
102,UC400,"4159041027",문학리
103,UC400,"4159041028",신리
104,UC400,"4159041029",계향리
105,UC400,"4159041030",귀래리
106,UC400,"4159041031",제기리
107,UC400,"4159041032",덕절리
108,UC400,"4159041033",음양리
109,UC400,"4159041034",망월리
110,UC400,"4159041035",수면리
111,UC400,"4159041036",내리
112,UC400,"4159041037",금복리
113,UC400,"4159041038",고지리
114,UC400,"4159041039",용수리
115,UC400,"4159014000",새솔동
116,UC400,"4159011600",진안동
117,UC400,"4159011700",병점동
118,UC400,"4159011800",능동
119,UC400,"4159011900",기산동
120,UC400,"4159012000",반월동
121,UC400,"4159012100",반정동
122,UC400,"4159012200",황계동
123,UC400,"4159012300",배양동
124,UC400,"4159012400",기안동
125,UC400,"4159012500",송산동
126,UC400,"4159012600",안녕동
127,UC400,"4159012700",반송동
128,UC400,"4159012800",석우동
129,UC400,"4159012900",오산동
130,UC400,"4159013000",청계동
131,UC400,"4159013100",영천동
132,UC400,"4159013200",중동
133,UC400,"4159013300",신동
134,UC400,"4159013400",목동
135,UC400,"4159013500",산척동
136,UC400,"4159013600",장지동
137,UC400,"4159013700",송동
138,UC400,"4159013800",방교동
139,UC400,"4159013900",금곡동
140,UC400,"4159025321",상리
141,UC400,"4159025322",내리
142,UC400,"4159025323",수영리
143,UC400,"4159025324",동화리
144,UC400,"4159025325",와우리
145,UC400,"4159025326",수기리
146,UC400,"4159025327",분천리
147,UC400,"4159025328",왕림리
148,UC400,"4159025329",세곡리
149,UC400,"4159025330",당하리
150,UC400,"4159025331",마하리
151,UC400,"4159025332",유리
152,UC400,"4159025333",덕리
153,UC400,"4159025334",덕우리
154,UC400,"4159025335",하가등리
155,UC400,"4159025336",상기리
156,UC400,"4159025621",원안리
157,UC400,"4159025622",호곡리
158,UC400,"4159025623",운평리
159,UC400,"4159025624",한각리
160,UC400,"4159025625",멱우리
161,UC400,"4159025626",화수리
162,UC400,"4159025627",주곡리
163,UC400,"4159025628",이화리
164,UC400,"4159025629",석천리
165,UC400,"4159025630",매향리
166,UC400,"4159025631",화산리
167,UC400,"4159025632",조암리
168,UC400,"4159025633",국화리
169,UC400,"4159025921",평리
170,UC400,"4159025922",발안리
171,UC400,"4159025923",제암리
172,UC400,"4159025924",상신리
173,UC400,"4159025925",구문천리
174,UC400,"4159025926",하길리
175,UC400,"4159025927",화리현리
176,UC400,"4159025928",상두리
177,UC400,"4159025929",백토리
178,UC400,"4159025930",길성리
179,UC400,"4159025931",요리
180,UC400,"4159025932",수직리
181,UC400,"4159025933",갈천리
182,UC400,"4159025934",증거리
183,UC400,"4159025935",송곡리
184,UC400,"4159025936",동오리
185,UC400,"4159025937",관리
186,UC400,"4159025938",도이리
187,UC400,"4159025939",행정리
188,UC400,"4159025940",방축리
189,UC400,"4159025941",장짐리
190,UC400,"4159026221",남양리
191,UC400,"4159026222",신남리
192,UC400,"4159026223",장덕리
193,UC400,"4159026224",안석리
194,UC400,"4159026225",활초리
1,UC400,"4159026226",온석리
2,UC400,"4159026227",무송리
3,UC400,"4159026228",북양리
4,UC400,"4159026229",송림리
5,UC400,"4159026230",수화리
6,UC400,"4159026231",장전리
7,UC400,"4159026232",신외리
8,UC400,"4159026233",문호리
9,UC400,"4159026234",시리
10,UC400,"4159026235",원천리
11,UC400,"4159031021",천천리
12,UC400,"4159031022",원평리
13,UC400,"4159031023",어천리
14,UC400,"4159031024",숙곡리
15,UC400,"4159031025",야목리
16,UC400,"4159031026",송라리
17,UC400,"4159031027",원리
18,UC400,"4159032021",양노리
19,UC400,"4159032022",남전리
20,UC400,"4159032023",유포리
21,UC400,"4159032024",삼화리
22,UC400,"4159032025",구포리
23,UC400,"4159032026",쌍학리
24,UC400,"4159032027",청요리
25,UC400,"4159032028",자안리
26,UC400,"4159033021",석교리
27,UC400,"4159033022",두곡리
28,UC400,"4159033023",송정리
29,UC400,"4159033024",쌍송리
30,UC400,"4159033025",청원리
31,UC400,"4159033026",슬항리
32,UC400,"4159036029",지월리
33,UC400,"4159036030",덕우리
34,UC400,"4159036031",서근리
35,UC400,"4159036032",월문리
36,UC400,"4159036033",화당리
37,UC400,"4159036034",고주리
38,UC400,"4159033027",해문리
39,UC400,"4159033028",백곡리
40,UC400,"4159033029",금당리
41,UC400,"4159033030",고모리
42,UC400,"4159034021",사강리
43,UC400,"4159034022",봉가리
44,UC400,"4159034023",삼존리
45,UC400,"4159034024",용포리
46,UC400,"4159034025",고정리
47,UC400,"4159034026",쌍정리
48,UC400,"4159034027",천등리
49,UC400,"4159034028",신천리
50,UC400,"4159034029",독지리
51,UC400,"4159034030",마산리
52,UC400,"4159034031",고포리
53,UC400,"4159034032",지화리
54,UC400,"4159034033",중송리
55,UC400,"4159034034",육일리
56,UC400,"4159034035",칠곡리
57,UC400,"4159035021",전곡리
58,UC400,"4159035022",상안리
59,UC400,"4159035023",광평리
60,UC400,"4159035024",장외리
61,UC400,"4159035025",송교리
62,UC400,"4159035026",제부리
63,UC400,"4159035027",홍법리
64,UC400,"4159035028",사곳리
65,UC400,"4159035029",매화리
66,UC400,"4159035030",용두리
67,UC400,"4159036035",매곡리
68,UC400,"4159036036",해창리
69,UC400,"4159037021",어은리
70,UC400,"4159037022",석포리
71,UC400,"4159037023",수촌리
72,UC400,"4159037024",독정리
73,UC400,"4159037025",장안리
74,UC400,"4159037026",덕다리
