도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,설치일자,보관대수,대장초기화여부,비고,도로구간번호,공사번호,납품업체,로딩일자
1,AE542,411028,41590586,377130706C,MNG244,2007-12-01,6,1,버스정류장,2200719005, , , 
2,AE542,411029,41590586,377130706C,MNG244,2007-12-01,6,1,버스정류장,2200719005, , , 
3,AE542,411006,41590585,377130295B,MNG244,2007-12-01,6,1,버스정류장,2100119004, , , 
4,AE542,411007,41590585,377130295B,MNG244,2007-12-01,6,1,버스정류장,2100119004, , , 
5,AE542,411008,41590585,377130294C,MNG244,2007-12-01,6,1,버스정류장,2100319004, , , 
6,AE542,411009,41590585,377130705A,MNG244,2007-12-01,6,1,버스정류장,2300419003, , , 
7,AE542,411010,41590586,377130705A,MNG244,2007-12-01,6,1,버스정류장,2300419003, , , 
8,AE542,411027,41590586,377130705C,MNG244,2007-12-01,7,1,공원,2709219001, , , 
9,AE542,411002,41590585,377130293A,MNG244,2007-12-01,6,1,(주)TS,2300119003, , , 
10,AE542,411011,41590585,377130283D,MNG244,2007-12-01,10,1,센트럴파크앞,2200319012, , , 
11,AE542,411019,41590585,377130283A,MNG244,2007-12-01,9,1,기업은행,2300119007, , , 
12,AE542,411020,41590587,377130283A,MNG244,2007-12-01,9,1,한솔프라자,2200319014, , , 
13,AE542,411021,41590585,377130283C,MNG244,2007-12-01,6,1,버스정류장,2300119005, , , 
14,AE542,411022,41590587,377130283C,MNG244,2007-12-01,6,1,버스정류장,2300119005, , , 
15,AE542,411023,41590587,377130282D,MNG244,2007-12-01,12,1,공원,2300119003, , , 
16,AE542,411024,41590587,377130281D,MNG244,2007-12-01,12,1,두산APT,2401519003, , , 
17,AE542,411025,41590587,377130292D,MNG244,2007-12-01,6,1,버스정류장,2300119002, , , 
18,AE542,411026,41590585,377130292D,MNG244,2007-12-01,6,1,버스정류장,2300119002, , , 
19,AE542,411001,41590585,377130286D,MNG244,2007-12-01,7,1,교차로,2200619001, , , 
20,AE542,411003,41590585,377130285C,MNG244,2007-12-01,4,1,동사무소옆,2200619001, , , 
21,AE542,411004,41590585,377130285C,MNG244,2007-12-01,4,1,동사무소옆,2200619001, , , 
22,AE542,411005,41590585,377130284B,MNG244,2007-12-01,6,1,버스정류장,2100319015, , , 
23,AE542,411012,41590585,377130286C,MNG244,2007-12-01,6,1,버스정류장,2200619001, , , 
24,AE542,411013,41590585,377130286C,MNG244,2007-12-01,6,1,버스정류장,2200619001, , , 
25,AE542,411014,41590585,377130266B,MNG244,2007-12-01,6,1,버스정류장,2200119013, , , 
26,AE542,411015,41590585,377130296B,MNG244,2007-12-01,4,1,공원,2100219007, , , 
27,AE542,411016,41590585,377130255B,MNG244,2007-12-01,6,1,버스정류장,2200119017, , , 
28,AE542,411018,41590585,377130276D,MNG244,2007-12-01,6,1,버스정류장,2200119005, , , 
29,AE542,411030,41590585,377130286A,MNG244,2007-12-01,7,1,공원,2709819001, , , 
30,AE542,500003,41590550,377130234C,MNG244,1900-01-01,10,1, ,1331831003, , , 
31,AE542,100001,41590570,376160588B,MNG244,1900-01-01,10,1, ,9000921003, , , 
32,AE542,500002,41590550,377130234C,MNG244,1900-01-01,10,1, ,1331831003, , , 
33,AE542,500005,41590253,376160460D,MNG244,1900-01-01,10,1, ,1104321043, , , 
34,AE542,500004,41590253,376160470B,MNG244,1900-01-01,10,1, ,2600831004, , , 
35,AE542,500006,41590253,376160460D,MNG244,1900-01-01,10,1, ,1104321043, , , 
36,AE542,500001,41590550,377130223C,MNG244,1900-01-01,10,1, ,1331531063, , , 
37,AE542,99920171001,41590340,376122211B,MNG244,2017-01-01,6,1,송산그린시티 기반시설 건설공사 도로 및 지하매설물 GIS D/B 구축용역(20171229),99920171019, , ,2017-12-29
38,AE542,99920171002,41590340,376122211B,MNG244,2017-01-01,6,1,송산그린시티 기반시설 건설공사 도로 및 지하매설물 GIS D/B 구축용역(20171229),99920171019, , ,2017-12-29
39,AE542,99920171003,41590340,376122211B,MNG244,2017-01-01,6,1,송산그린시티 기반시설 건설공사 도로 및 지하매설물 GIS D/B 구축용역(20171229),99920171019, , ,2017-12-29
40,AE542,99920171004,41590340,376122211B,MNG244,2017-01-01,6,1,송산그린시티 기반시설 건설공사 도로 및 지하매설물 GIS D/B 구축용역(20171229),99920171019, , ,2017-12-29
41,AE542,1.21E+13,41590520,377130261A,MNG244,2017-01-01,10,1,"반월,기산지구 시가화예정구역 도로 및 하수관거 정비사업 GIS DB 구축용역",1.21E+13, ,㈜진성이엔씨,2018-05-25
42,AE542,9.00E+13,41590000,377130710A,MNG305,2016-01-01,10,1, ,9.00E+13, ,새한항업,2019-01-05
43,AE542,9.00E+13,41590000,377130710A,MNG305,2016-01-01,10,1, ,9.00E+13, ,새한항업,2019-01-05
44,AE542,9.00E+13,41590000,377130710A,MNG305,2016-01-01,10,1, ,9.00E+13, ,새한항업,2019-01-05
45,AE542,9.00E+13,41590000,377130710A,MNG305,2016-01-01,10,1, ,9.00E+13, ,새한항업,2019-01-05
