"도형번호","지형지물부호","관리번호","관리부서","CCTV구분","CCTV관리번호","개소명","행정읍면동","법정읍면동","법정읍면동리","번지","통신망","카메라 구분","위도(degree)","경도(degree)","X좌표","Y좌표","카메라 수","동/서","비고"
1202,AE134,3169,스마트도시과,CTV001,송-03204,워터프론트56,"41590610","41590135","4159013500","513",동탄2자가망, ,"37.168781","127.116905","210382.869481014","507750.55548097","1",CTM001, 
1203,AE134,3170,스마트도시과,CTV001,송-03205,워터프론트57,"41590610","41590135","4159013500","492-3",동탄2자가망, ,"37.1688","127.115854","210289.495283054","507752.511799814","1",CTM001, 
1204,AE134,3171,스마트도시과,CTV001,송-03206,워터프론트58,"41590610","41590135","4159013500","358",동탄2자가망, ,"37.16898","127.118086","210487.736485579","507772.746218559","1",CTM001, 
1205,AE134,3174,스마트도시과,CTV001,송-03209,워터프론트59,"41590610","41590137","4159013700","681-695",동탄2자가망, ,"37.169015","127.118038","210483.484517725","507776.649677665","1",CTM001, 
1206,AE134,3192,스마트도시과,CTV001,산척-03227,산척동270[1],"41590610","41590135","4159013500","270",동탄2자가망, ,"37.171471","127.114035","210127.572607971","508048.816968051","4",CTM001, 
1207,AE134,3276,스마트도시과,CTV001,산척-03319,산척동64-1,"41590610","41590135","4159013500","64-1",동탄2자가망, ,"37.172327","127.107173","209518.077620305","508143.057041893","5",CTM001, 
1208,AE134,3277,스마트도시과,CTV001,산척-03320,산척동617,"41590610","41590135","4159013500","617",동탄2자가망, ,"37.166911","127.106967","209500.499999861","507542.000102199","3",CTM001, 
1209,AE134,3278,스마트도시과,CTV001,산척-03321,산척동산127-4,"41590610","41590135","4159013500",산127-4,동탄2자가망, ,"37.170781","127.110639","209826.118719401","507971.861837336","4",CTM001, 
1210,AE134,3279,스마트도시과,CTV001,산척-03322,산척동270,"41590610","41590135","4159013500","270",동탄2자가망, ,"37.170617","127.113837","210110.104477282","507953.938239716","4",CTM001, 
1211,AE134,3280,스마트도시과,CTV001,산척-03323,산척동542-1,"41590610","41590135","4159013500","542-1",동탄2자가망, ,"37.168609","127.110473","209811.632745859","507730.766401594","4",CTM001, 
1212,AE134,3282,스마트도시과,CTV001,산척-03325,산척동산95,"41590610","41590135","4159013500",산95,동탄2자가망, ,"37.165992","127.111658","209917.220218224","507440.452806666","4",CTM001, 
1213,AE134,3283,스마트도시과,CTV001,산척-03326,산척동산89,"41590610","41590135","4159013500",산89,동탄2자가망, ,"37.166472","127.114973","210211.586820665","507494.075387054","5",CTM001, 
1214,AE134,3284,스마트도시과,CTV001,산척-03327,산척동468,"41590610","41590135","4159013500","468",동탄2자가망, ,"37.168036","127.117402","210427.10915506","507667.913724278","4",CTM001, 
1215,AE134,3286,스마트도시과,CTV001,산척-03329,산척동32-5,"41590610","41590135","4159013500","32-5",동탄2자가망, ,"37.179816","127.112078","209952.736972293","508974.741794276","4",CTM001, 
1216,AE134,3287,스마트도시과,CTV001,산척-03330,산척동38,"41590610","41590135","4159013500","38",동탄2자가망, ,"37.178649","127.112561","209995.719779032","508845.277632471","3",CTM001, 
1218,AE134,3295,스마트도시과,CTV001,산척-03338,산척동46-2,"41590610","41590135","4159013500","46-2",동탄2자가망, ,"37.177952","127.113324","210063.622327767","508767.926932734","5",CTM001, 
1219,AE134,3296,스마트도시과,CTV001,산척-03339,산척동56-1,"41590610","41590135","4159013500","56-1",동탄2자가망, ,"37.177062","127.112515","209991.852844308","508669.046005969","4",CTM001, 
1220,AE134,3297,스마트도시과,CTV001,산척-03340,산척동산12-1,"41590610","41590135","4159013500",산12-1,동탄2자가망, ,"37.176363","127.111964","209943.057353356","508591.412406254","4",CTM001, 
1221,AE134,3298,스마트도시과,CTV001,산척-03341,산척동산136-1,"41590610","41590135","4159013500",산136-1,동탄2자가망, ,"37.17527","127.110732","209833.781440699","508470.026076283","5",CTM001, 
1222,AE134,3299,스마트도시과,CTV001,산척-03342,산척동산155,"41590610","41590135","4159013500",산155,동탄2자가망, ,"37.175664","127.107754","209569.282290729","508513.447911218","4",CTM001, 
1223,AE134,3300,스마트도시과,CTV001,산척-03343,산척동산134-1[1],"41590610","41590135","4159013500",산134-1,동탄2자가망, ,"37.173327","127.112203","209964.671662636","508254.565818334","4",CTM001, 
1224,AE134,3301,스마트도시과,CTV001,산척-03344,산척동54-4,"41590610","41590135","4159013500","54-4",동탄2자가망, ,"37.175264","127.112644","210003.572295888","508469.58238075","5",CTM001, 
1225,AE134,3302,스마트도시과,CTV001,산척-03345,산척동산15-3,"41590610","41590135","4159013500",산15-3,동탄2자가망, ,"37.174852","127.11379","210105.417739041","508423.990852385","5",CTM001, 
1226,AE134,3303,스마트도시과,CTV001,산척-03346,산척동산134-1[2],"41590610","41590135","4159013500",산134-1,동탄2자가망, ,"37.174061","127.112709","210009.476843667","508336.045798781","4",CTM001, 
1227,AE134,3304,스마트도시과,CTV001,산척-03347,산척동산16,"41590610","41590135","4159013500",산16,동탄2자가망, ,"37.173885","127.114118","210134.622439338","508316.729389898","4",CTM001, 
