6워,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,교차시설명,교차연장,교차시설폭원,유효고,교차각도,교차로명,교차로수,교차방식,대장초기화여부,비고,도로구간번호,납품업체,로딩일자
1,AD010,2.15307E+11,41590588,377130720B,MNG244, ,46.62,40.95,0,0, ,4,RTR001,1, ,21530720058, , 
2,AD010,2.15303E+11,41590590,377130290C,MNG244, ,33.79,17.7,0,0, ,3,RTR001,1, ,21530290241, , 
3,AD010,2.15303E+11,41590590,377130290D,MNG244, ,34.35,49.83,0,0, ,4,RTR001,1, ,21530290520, , 
4,AD010,2.15304E+11,41590590,377130392B,MNG244, ,22.46,20.53,0,0, ,3,RTR001,1, ,21530393579, , 
5,AD010,2.15304E+11,41590590,377130396B,MNG244, ,8.41,10.2,0,0, ,3,RTR001,1, ,21530396959, , 
6,AD010,2.15304E+11,41590590,377130396B,MNG244, ,4.01,15.82,0,0, ,3,RTR001,1, ,21530396967, , 
7,AD010,2.15304E+11,41590590,377130396B,MNG244, ,8.53,12.34,0,0, ,3,RTR001,1, ,21530396957, , 
8,AD010,2.15304E+11,41590590,377130396B,MNG244, ,4.99,15.09,0,0, ,3,RTR001,1, ,21530396969, , 
9,AD010,2.15304E+11,41590590,377130396D,MNG244, ,8.17,8.01,0,0, ,3,RTR001,1, ,21530396968, , 
10,AD010,2.15304E+11,41590590,377130396D,MNG244, ,4.99,15.06,0,0, ,3,RTR001,1, ,21530396971, , 
11,AD010,2.15304E+11,41590590,377130382B,MNG244, ,10.8,20.67,0,0, ,3,RTR001,1, ,21530382947, , 
12,AD010,2.15304E+11,41590590,377130382B,MNG244, ,13.06,20.53,0,0, ,3,RTR001,1, ,21530382942, , 
13,AD010,2.15304E+11,41590590,377130383C,MNG244, ,6.3,24.47,0,0, ,3,RTR001,1, ,21530383940, , 
14,AD010,2.15304E+11,41590590,377130382C,MNG244, ,3.82,19.97,0,0, ,3,RTR001,1, ,21530382714, , 
15,AD010,2.15307E+11,41590600,377130710C,MNG244, ,10.28,23.84,0,0, ,3,RTR001,1, ,21530710929, , 
