도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,대장초기화여부,납품업체,로딩일자
2207,AE915,99920160110,41590340,376150555C,MNG244,1, ,
2208,AE915,99920160111,41590340,376150555C,MNG244,1, ,
2209,AE915,99920160112,41590340,376150554D,MNG244,1, ,
2210,AE915,99920160115,41590340,376150554D,MNG244,1, ,
2211,AE915,99920160124,41590340,376150554D,MNG244,1, ,
2212,AE915,99920160116,41590340,376150554B,MNG244,1, ,
2213,AE915,99920160117,41590340,376150554B,MNG244,1, ,
2214,AE916,99920160119,41590340,376150554B,MNG244,1, ,
2215,AE915,99920160120,41590340,376150554B,MNG244,1, ,
2216,AE915,99920160122,41590340,376150554B,MNG244,1, ,
2217,AE915,99920160361,41590340,376150522C,MNG244,1, ,
2218,AE915,99920160362,41590340,376150522C,MNG244,1, ,
2219,AE915,99920160365,41590340,376150521D,MNG244,1, ,
2220,AE915,99920160366,41590340,376150521D,MNG244,1, ,
2221,AE915,99920160368,41590340,376150521D,MNG244,1, ,
2222,AE914,104822,41590253,376160592D,MNG244,1, ,
2223,AE915,99920151821,41590400,376161928A,MNG244,1, ,
2224,AE916,99920156581,41590310,376122348C,MNG244,1, ,
2225,AE915,99920156582,41590310,376122348C,MNG244,1, ,
2226,AE915,99920150552,41590310,376122348B,MNG244,1, ,
2227,AE915,507743,41590410,377130661A,MNG244,1, ,
2228,AE914,500990,41590520,377130166A,MNG244,1, ,
2229,AE914,202128,41590400,376161560A,MNG244,1, ,
2230,AE915,506152,41590520,377130158A,MNG244,1, ,
2231,AE915,99920154124,41590360,376161305C,MNG244,1, ,
2232,AE915,99920154125,41590360,376161305C,MNG244,1, ,
2233,AE915,99920154128,41590360,376161305C,MNG244,1, ,
2234,AE915,99920154131,41590360,376161305C,MNG244,1, ,
2235,AE915,99920154122,41590360,376161305B,MNG244,1, ,
2236,AE915,99920154126,41590360,376161305B,MNG244,1, ,
2237,AE915,99920154127,41590360,376161305B,MNG244,1, ,
2238,AE915,99920154129,41590360,376161305B,MNG244,1, ,
2239,AE915,99920157233,41590107,376160740C,MNG244,1, ,
2240,AE915,99920156262,41590320,376160309D,MNG244,1, ,
2241,AE915,99920156263,41590320,376160309C,MNG244,1, ,
2242,AE915,99920156256,41590320,376160309B,MNG244,1, ,
2243,AE915,99920156257,41590320,376160309B,MNG244,1, ,
2244,AE915,99920156258,41590320,376160309B,MNG244,1, ,
2245,AE915,99920156265,41590320,376160309B,MNG244,1, ,
2246,AE915,99920159181,41590350,376151428D,MNG244,1, ,
2247,AE915,99920159182,41590350,376151428D,MNG244,1, ,
2248,AE916,99920159183,41590350,376151428D,MNG244,1, ,
2249,AE915,99920159184,41590350,376151428D,MNG244,1, ,
2250,AE915,99920159168,41590350,376151428B,MNG244,1, ,
2251,AE915,99920159169,41590350,376151428B,MNG244,1, ,
2252,AE915,99920159170,41590350,376151428B,MNG244,1, ,
2253,AE915,99920151438,41590410,377130685B,MNG244,1, ,
2254,AE915,99920151439,41590410,377130685B,MNG244,1, ,
2255,AE916,99920151440,41590410,377130685B,MNG244,1, ,
2256,AE915,99920151441,41590410,377130685B,MNG244,1, ,
