도형번호,지형지물부호,분전함관리번호,분전함번호,관리기관,도엽번호,대장초기화여부,행정읍면동,비고,설치일자,도로구간번호,납품업체,로딩일자
1,AE908,1.21117E+13,30842,MNG244,377130261A,1,41590520,"반월,기산지구 시가화예정구역 도로 및 하수관거 정비사업 GIS DB 구축용역",2017-12-01,1.21117E+13,㈜진성이엔씨,2018-05-25
2,AE908,1.21117E+13, ,MNG244,377130261A,1,41590520,"반월,기산지구 시가화예정구역 도로 및 하수관거 정비사업 GIS DB 구축용역",2017-12-01,1.21117E+13,㈜진성이엔씨,2018-05-25
3,AE910,900276,봉담LP84-18,MNG244,376160566B,1,41590253, ,1900-01-01,0, , 
4,AE908,99920171004,29-25-0034575-1702,MNG244,376122221B,1,41590340,송산그린시티 기반시설 건설공사 도로 및 지하매설물 GIS D/B 구축용역(20171229),2017-01-01,99920171049, ,2017-12-29
5,AE910,900386,우정LP207-5,MNG244,376161734C,1,41590256, ,1900-01-01,2600233031, , 
6,AE910,900385,우정LP77-4,MNG244,376161734B,1,41590256, ,1900-01-01,1107733065, , 
7,AE910,900384,우정LP77-3,MNG244,376161735A,1,41590256, ,1900-01-01,2600233038, , 
8,AE910,900383,우정LP207-2,MNG244,376161724D,1,41590256, ,1900-01-01,1107733081, , 
9,AE910,9.99161E+11, ,MNG244,376160666B,1,41590330,경기화성바이오밸리,2016-11-01,99916121931, , 
10,AE910,9.99161E+11, ,MNG244,376160666A,1,41590330,경기화성바이오밸리,2016-11-01,99916121932, , 
11,AE910,9.99161E+11, ,MNG244,376160666A,1,41590330,경기화성바이오밸리,2016-11-01,99916121932, , 
12,AE910,8.99919E+13, ,MNG244,377130864B,1,41590420,동탄(2)택지개발사업 부지공사(1단계)GIS DB구축용역, ,8.99919E+13, ,2019-12-04
13,AE910,8.99919E+13, ,MNG244,377130863C,1,41590420,동탄(2)택지개발사업 부지공사(1단계)GIS DB구축용역, ,8.99919E+13, ,2019-12-04
14,AE910,8.99919E+13, ,MNG244,377130863C,1,41590420,동탄(2)택지개발사업 부지공사(1단계)GIS DB구축용역, ,8.99919E+13, ,2019-12-04
15,AE910,8.88615E+11,LP-,MNG135,376161492B,1,41590259,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),2016-01-01,614920038, ,2017-08-31
16,AE910,8.88615E+11,LP2-23,MNG135,376161482D,1,41590259,화성 향남 2지구 도로 및 지하시설물 DB 구축(20170831),2016-01-01,614820159, ,2017-08-31
17,AE910,8.99919E+13, ,MNG244,377130872A,1,41590420,동탄(2)택지개발사업 부지공사(1단계)GIS DB구축용역, ,8.99919E+13, ,2019-12-04
18,AE910,9.99161E+11, ,MNG244,376160664D,1,41590330,경기화성바이오밸리,2016-11-01,99916121919, , 
19,AE910,9.99161E+11, ,MNG244,376160664D,1,41590330,경기화성바이오밸리,2016-11-01,99916121911, , 
20,AE910,9.99161E+11, ,MNG244,376160664B,1,41590330,경기화성바이오밸리,2016-11-01,99916121922, , 
21,AE910,9.99161E+11, ,MNG244,376160664B,1,41590330,경기화성바이오밸리,2016-11-01,99916121919, , 
22,AE910,9.99161E+11, ,MNG244,376160664A,1,41590330,경기화성바이오밸리,2016-11-01,99916121925, , 
23,AE910,8.21118E+13,LP-27,MNG409,376122245D,1,41590000, ,2018-01-01,8.21117E+13,(주)지아이에스21,2021-03-23
24,AE910,8.21118E+13,LP-21,MNG409,376122245A,1,41590000, ,2018-01-01,8.21117E+13,(주)지아이에스21,2021-03-23
25,AE910,8.21118E+13,LP-22,MNG409,376122245A,1,41590000, ,2018-01-01,8.21117E+13,(주)지아이에스21,2021-03-23
26,AE910,8.21118E+13,LP-14,MNG409,376122234B,1,41590000, ,2018-01-01,8.21117E+13,(주)지아이에스21,2021-03-23
27,AE910,8.21118E+13,LP-15,MNG409,376122234B,1,41590000, ,2018-01-01,8.21117E+13,(주)지아이에스21,2021-03-23
28,AE910,8.21118E+13,LP-20,MNG409,376122235C,1,41590000, ,2018-01-01,8.21117E+13,(주)지아이에스21,2021-03-23
29,AE910,8.21118E+13, ,MNG409,376122225A,1,41590000, ,2018-01-01,8.21117E+13,(주)지아이에스21,2021-03-23
30,AE910,8.21118E+13,LP-10,MNG409,376122224C,1,41590000, ,2018-01-01,8.21117E+13,(주)지아이에스21,2021-03-23
31,AE910,8.21118E+13,LP-13,MNG409,376122224B,1,41590000, ,2018-01-01,8.21117E+13,(주)지아이에스21,2021-03-23
32,AE910,8.21118E+13,LP-12,MNG409,376122224B,1,41590000, ,2018-01-01,8.21117E+13,(주)지아이에스21,2021-03-23
33,AE908,8.21618E+13,KSC8324,MNG244,376150963C,1,41590350,백미-송교간 도로확포장공사 GIS DB 구축용역,2017-12-31,8.21618E+13,(주)우주공간정보,2018-11-02
34,AE908,2.15304E+11,LP1B-6NP-01,MNG244,377130394A,1,41590590, ,2014-01-01,21530394166, , 
35,AE910,8.2992E+13, ,MNG244,376122225A,1,41590262,송산그린시티 기반시설 건설공사 도로 및 지하매설물 GIS D/B 구축용역,2019-12-21,8.2992E+13,제일항업(주),2020-10-21
36,AE910,2.2162E+13, ,MNG417,377130177B,1,41590520,진안도시계획도로 소로1-5호선 개설공사 GIS DB 구축용역,2020-06-01,2.2162E+13,(주)성원공간정보,2020-08-12
37,AE910,9.99617E+11,LP-2B,MNG244,376161723D,1,41590256, ,2010-01-08,99617230019, , 
38,AE910,9.99617E+11,LP-2A,MNG244,376161733B,1,41590256, ,2010-01-08,99617330018, , 
39,AE910,411108,LP-104,MNG244,377130255B,1,41590585, ,2007-05-01,2200119001, , 
40,AE910,411142,-,MNG244,377130282A,1,41590587, ,2007-05-01,2708219001, , 
41,AE910,426001,TH141566830,MNG244,376160573A,1,41590253, ,2008-07-24,1019042013, , 
42,AE910,426002,TH141568876,MNG244,376160565A,1,41590253, ,2008-07-24,1019042016, , 
43,AE910,426003,TH141566210,MNG244,376160565A,1,41590253, ,2008-07-24,1019042016, , 
44,AE910,8.99919E+13, ,MNG244,377130862A,1,41590420,동탄(2)택지개발사업 부지공사(1단계)GIS DB구축용역, ,8.99919E+13, ,2019-12-04
45,AE908,1.21612E+13,2150036953,MNG244,376122290A,1,41590320,시도4호선(비봉인공습지 진입로)도로 확포장공사 GIS DB구축사업,2011-06-01,1.21612E+13,㈜진성이엔씨,2018-09-05
46,AE908,8.99916E+13,-,MNG305,377130843D,1,41590000, ,2016-01-01,8.99916E+13,새한항업,2019-01-05
47,AE908,8.99916E+13,LP-3A-19,MNG305,377130843D,1,41590000, ,2016-01-01,8.99916E+13,새한항업,2019-01-05
48,AE908,8.99916E+13,3A-3A-17,MNG305,377130843C,1,41590000, ,2016-01-01,8.99916E+13,새한항업,2019-01-05
49,AE910,411136,-,MNG244,377130284B,1,41590585, ,2007-05-01,2708619001, , 
50,AE910,411119,LP-50,MNG244,377130284C,1,41590585, ,2007-05-01,0, , 
51,AE910,411081,LP-51,MNG244,377130283D,1,41590585, ,2007-05-01,0, , 
52,AE910,411128,LP-42,MNG244,377130285D,1,41590585, ,2007-05-01,2400619007, , 
53,AE910,411135,LP-59,MNG244,377130284B,1,41590585, ,2007-05-01,2708619002, , 
54,AE908,5.31509E+11,01-25-1190985-1501,MNG244,376150913C,1,41590350,전곡해양산업단지 도로 및 지하시설물 GIS DB구축 용역(20171207),2015-01-01,53150608056, ,2017-12-07
55,AE908,5.31509E+11,01-25-1187843-1501,MNG244,376150912B,1,41590350,전곡해양산업단지 도로 및 지하시설물 GIS DB구축 용역(20171207),2015-01-01,53150608052, ,2017-12-07
56,AE908,5.31509E+11,01-25-1187842-1501,MNG244,376150936D,1,41590350,전곡해양산업단지 도로 및 지하시설물 GIS DB구축 용역(20171207),2015-01-01,53150608010, ,2017-12-07
57,AE908,5.31509E+11,06-25-0015030-1411,MNG244,376150935A,1,41590350,전곡해양산업단지 도로 및 지하시설물 GIS DB구축 용역(20171207),2015-01-01,53150608016, ,2017-12-07
58,AE910,900194,매송LP313-4,MNG244,376160403A,1,41590310, ,1900-01-01,1331313003, , 
59,AE910,99920150026, ,MNG244,376161405A,1,41590360, ,1900-01-01,99920150374, , 
60,AE910,900275,봉담LP84-17,MNG244,376160555A,1,41590253, ,1900-01-01,0, , 
61,AE910,8.2112E+13, ,MNG244,376122279D,1,41590140, ,2020-01-01,8.2112E+13,(주)지아이에스21,2021-03-23
62,AE910,8.2112E+13, ,MNG244,376122269C,1,41590140, ,2020-01-01,8.2112E+13,(주)지아이에스21,2021-03-23
63,AE910,8.2112E+13, ,MNG244,376122256D,1,41590140, ,2020-01-01,8.2112E+13,(주)지아이에스21,2021-03-23
