도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,설치일자,위치구분,표지종류,지주형식,높이,규격
1151,AE210,8.89E+11,41590259,376161482C,MNG244,2016-01-01,PLC001,AEC014,IPG011,0,2100X450(6)
1152,AE210,8.89E+11,41590259,376161482C,MNG244,2016-01-01,PLC001,AEC014,IPG011,0,1050X260(5)
1153,AE210,8.89E+11,41590259,376161482C,MNG244,2016-01-01,PLC001,AEC014,IPG010,0,2100X450(6)
1154,AE210,8.89E+11,41590259,376161482C,MNG244,2016-01-01,PLC002,AEC014,IPG010,0,1050X260(5)
1155,AE210,2.12E+11,41590259,376161414C,MNG244,2014-06-01,PLC001,AEC012,IPG002,7,6.5X2.0/2.0X0.5
1156,AE210,99920150916,41590320,376160315B,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1157,AE210,99920150918,41590320,376160305D,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1158,AE210,100197,41590570,376160577D,MNG244,1900-01-01,PLC002,AEC005,IPG001,1.8,사각형1.10X1.70
1159,AE210,100071,41590259,376161516D,MNG244,1996-01-01,PLC001,AEC003,IPG004,2,사각형1.00X0.50
1160,AE210,1.00E+12,41590256,376161725B,MNG244,2010-01-01,PLC001,AEC007,IPG002,4.5,250*150
1161,AE210,500145,41590540,377130271A,MNG244,1900-01-01,PLC001,AEC004,IPG002,5.2,사각형3.6×2.2
1162,AE210,500106,41590530,377130198A,MNG244,1900-01-01,PLC001,AEC006,IPG001,2,오각형0.26×0.44
1163,AE210,500033,41590570,377130154B,MNG244,1900-01-01,PLC002,AEC004,IPG002,5.2,사각형3.0×2.0
1164,AE210,200111,41590400,376161949A,MNG244,1900-01-01,PLC001,AEC004,IPG002,5,3.6X2.2
1165,AE210,100032,41590253,376160928B,MNG244,1900-01-01,PLC001,AEC006,IPG001,1.5,오각형0.26X0.44
1166,AE210,100041,41590253,376160908D,MNG244,1900-01-01,PLC001,AEC006,IPG002,5,사각형3.60X2.20
1167,AE210,500107,41590530,377130188A,MNG244,1900-01-01,PLC001,AEC004,IPG002,5.2,사각형0.45×2.2
1168,AE210,100061,41590253,376160479B,MNG244,1900-01-01,PLC001,AEC006,IPG001,1.5,오각형0.26X0.44
1169,AE210,200086,41590259,376161569A,MNG244,1900-01-01,PLC001,AEC004,IPG002,5,3.6X2.2
1170,AE210,99920150833,41590262,376160743D,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1171,AE210,99920150834,41590262,376160743D,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1172,AE210,401019,41590259,376161431D,MNG244,2004-07-31,PLC001,AEC004,IPG004,10,5mX2.5m
1173,AE210,8.89E+11,41590259,376161463C,MNG244,2016-01-01,PLC001,AEC014,IPG011,0,1150X260(6)
1174,AE210,8.89E+11,41590259,376161463C,MNG244,2016-01-01,PLC001,AEC014,IPG010,0,1650X450(5)
1175,AE210,2.15E+11,41590588,377130391B,MNG244,2014-01-01,PLC001,AEC004,IPG003,6.5,4.5X2.0
1176,AE210,2.15E+11,41590590,377130392B,MNG244,2014-01-01,PLC001,AEC004,IPG003,6.5,4.5X2.0
1177,AE210,8.89E+11,41590259,376161464C,MNG244,2016-01-01,PLC001,AEC014,IPG010,0,950X260(6)
1178,AE210,500112,41590550,377130223C,MNG244,1900-01-01,PLC002,AEC004,IPG003,5.2,3.7×1.35
1179,AE210,500115,41590550,377130223C,MNG244,1900-01-01,PLC001,AEC003,IPG005,5.2,3.6×2.2
1180,AE210,500114,41590550,377130223C,MNG244,1900-01-01,PLC002,AEC003,IPG002,5.2,3.6×2.2
1181,AE210,99920151094,41590350,376150948D,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1182,AE210,2.12E+11,41590330,376160195A,MNG244,2012-12-10,PLC001,AEC007,IPG001,5.3,0.7X0.26
1183,AE210,402045,41590520,377130169A,MNG244,2006-06-20,PLC001,AEC004,IPG002,0, 
1184,AE210,99920150766,41590310,376122422D,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1185,AE210,99920150767,41590310,376122422D,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1186,AE210,99920150768,41590310,376122413C,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1187,AE210,8.89E+11,41590259,376161482D,MNG244,2016-01-01,PLC002,AEC014,IPG011,0,900X260(5)
1188,AE210,100202,41590560,376160577A,MNG244,2004-01-01,PLC001,AEC004,IPG003,5,사각형3.70X1.35
1189,AE210,100079,41590410,376161048B,MNG244,2004-01-01,PLC001,AEC004,IPG002,5,사각형3.60X2.20
1190,AE210,100077,41590253,376160597C,MNG244,2001-01-01,PLC001,AEC004,IPG002,5,사각형3.60X2.20
1191,AE210,8.89E+11,41590259,376161464B,MNG244,2016-01-01,PLC001,AEC014,IPG011,0,950X260(6)
1192,AE210,2.15E+11,41590588,377130803B,MNG244,2014-01-01,PLC002,AEC004,IPG003,6.5,4.5X2.0
1193,AE210,99920150105,41590256,376161678C,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1194,AE210,200074,41590259,376161442C,MNG244,1900-01-01,PLC001,AEC004,IPG002,5,5.0X2.5
1195,AE210,200005,41590360,376160817D,MNG244,1900-01-01,PLC001,AEC002,IPG004,2,3.6X2.2
1196,AE210,100103,41590410,376161068C,MNG244,1900-01-01,PLC001,AEC004,IPG002,5,사각형5.00X2.50
1197,AE210,2.15E+11,41590588,377130394D,MNG244,2014-01-01,PLC001,AEC004,IPG002,6.5,4.5X2.0
1198,AE210,99920150339,41590360,376161405A,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1199,AE210,99920150392,41590360,376160994D,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1200,AE210,99920150393,41590360,376160994D,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1201,AE210,200108,41590400,376162031C,MNG244,1900-01-01,PLC001,AEC004,IPG002,5,3.6X2.2
1202,AE210,99920150761,41590310,376122432B,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1203,AE210,8.89E+11,41590259,376161482C,MNG244,2016-01-01,PLC001,AEC014,IPG011,0,1150X260(6)
1204,AE210,8.89E+11,41590259,376161462A,MNG244,2016-01-01,PLC003,AEC004,IPG005,5,3300X2800
1944,AE210,99920151024,41590330,376160185D,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
1945,AE210,99920151025,41590330,376160185D,MNG244,1990-01-01,PLC000,AEC000,IPG000,0, 
