도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,설치일자,등기구모형,광원종류,대장초기화여부,비고,도로구간번호,
1,AI010,5.11E+11,41590600,377130738D,MNG244,2014-01-01,LSH999,LCD004,1,화성동탄 일반산업단지 조성공사 중 GIS구축,51130738010,
2,AI010,500026,41590410,377131134D,MNG244,1900-01-01,LSH007,LCD002,1,31144002,1208231110,
3,AI010,401055,41590586,377130714D,MNG244,2006-04-01,LSH022,LCD999,1, ,2805819005,
4,AI010,100095,41590253,376160947D,MNG244,2001-01-01,LSH007,LCD002,1, ,2006711016,
5,AI010,401771,41590585,377130284A,MNG244,2006-04-01,LSH010,LCD999,1, ,2702219001,
6,AI010,401159,41590585,377130706B,MNG244,2006-04-01,LSH022,LCD999,1, ,2807819001,
7,AI010,500086,41590410,377130684D,MNG244,1900-01-01,LSH007,LCD002,1,30695002,3220331108,
8,AI010,100322,41590253,376160460D,MNG244,1900-01-01,LSH000,LCD002,1, ,2800221001,
9,AI010,500258,41590520,377130168B,MNG244,1900-01-01,LSH000,LCD002,1,30169002,2801031004,
10,AI010,500783,41590570,377130612C,MNG244,2004-01-01,LSH007,LCD002,1,30622008,1331531008,
11,AI010,500005,41590410,376161560B,MNG244,1900-01-01,LSH007,LCD002,1,31151005,9005891132,
12,AI010,200080,41590259,376161432A,MNG244,1900-01-01,LSH002,LCD002,1, ,2400112007,
13,AI010,5.11E+11,41590600,377130738D,MNG244,2014-01-01,LSH999,LCD004,1,화성동탄 일반산업단지 조성공사 중 GIS구축,51130738008,
14,AI010,99920150121,41590588,377130801C,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150002,
15,AI010,99920150123,41590588,377130801C,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150002,
16,AI010,99920150118,41590588,377130801B,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150002,
17,AI010,99920150122,41590588,377130801B,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150002,
18,AI010,100101,41590253,376160949D,MNG244,1900-01-01,LSH002,LCD002,1, ,2006711024,
19,AI010,100413,41590253,376160555D,MNG244,1900-01-01,LSH002,LCD002,1, ,9009421001,
20,AI010,200023,41590360,376160880A,MNG244,1900-01-01,LSH002,LCD002,1, ,2007812047,
21,AI010,2.12E+11,41590350,376150947C,MNG244,2014-11-27,LSH006,LCD004,1,전곡 해양산업단지 진입도로 개설공사 GIS DB 구축사업(20171102)_재납품,21150947001,
22,AI010,2.13E+11,41590340,376150439D,MNG244,2016-01-01,LSH006,LCD004,1,송산면 마산리 보도설치공사 GIS DB 구축용역(20171220),21250439003,
