도형번호,지형지물부호,관리번호,관리기관,행정읍면동,도엽번호,설치일자,정류장종류,정류장명,정류장유형,대장초기화여부,비고,도로구간번호,
272,AE260,99920150371,MNG259,41590115,376160242A,1990-01-01,AEE000, ,STT000,1, ,99920150590,
273,AE260,99920150374,MNG259,41590115,376160232C,1990-01-01,AEE000, ,STT000,1, ,99920150590,
274,AE260,99920150375,MNG259,41590115,376160231D,1990-01-01,AEE000, ,STT000,1, ,99920150590,
275,AE260,99920150347,MNG259,41590320,376160316A,1990-01-01,AEE000, ,STT000,1, ,99920150080,
276,AE260,99920150055,MNG259,41590370,376161774A,1990-01-01,AEE000, ,STT000,1, ,1.22E+13,
277,AE260,99920150056,MNG259,41590370,376161774A,1990-01-01,AEE000, ,STT000,1, ,1.22E+13,
278,AE260,99920150045,MNG259,41590256,376162202C,1990-01-01,AEE000, ,STT000,1, ,99920150736,
279,AE260,99920150001,MNG259,41590370,376161792D,1990-01-01,AEE000, ,STT000,1, ,1.22E+13,
280,AE260,99920150028,MNG259,41590370,376161217A,1990-01-01,AEE000, ,STT000,1, ,1.22E+13,
281,AE260,99920150029,MNG259,41590370,376161216A,1990-01-01,AEE000, ,STT000,1, ,1.22E+13,
282,AE260,99920150498,MNG259,41590340,376150468A,1990-01-01,AEE000, ,STT000,1, ,99920150263,
283,AE260,2.13E+11,MNG259,41590340,376150450B,2016-01-01,AEE004,마산1리(청촌농원),STT001,1,송산면 마산리 보도설치공사 GIS DB 구축용역(20171220),21250450008,
284,AE260,2.13E+11,MNG259,41590340,376150450B,2016-01-01,AEE004, ,STT002,1,송산면 마산리 보도설치공사 GIS DB 구축용역(20171220),21250450008,
285,AE260,2.13E+11,MNG259,41590340,376150450B,2016-01-01,AEE004, ,STT001,1,송산면 마산리 보도설치공사 GIS DB 구축용역(20171220),21250450008,
286,AE260,2.13E+11,MNG259,41590340,376150450B,2016-01-01,AEE004,마산1리마을회관,STT001,1,송산면 마산리 보도설치공사 GIS DB 구축용역(20171220),21250440006,
287,AE260,2.13E+11,MNG259,41590340,376150450B,2016-01-01,AEE004,마산1리마을회관,STT001,1,송산면 마산리 보도설치공사 GIS DB 구축용역(20171220),21250440006,
288,AE260,9.00E+13,MNG259,41590340,376150541C,2020-10-30,AEE003,마산1리,STT002,1,화성 송산테크노파크 일반산업단지,9.00E+13,
