구분,공룡알화석산지,국화도,우리꽃식물원,융건릉,향토박물관,데이터기준일자
2022-07,2906,4464,3927,20663,1672,2026-02-01
2022-08,3338,4427,4207,25409,161,2026-02-01
2022-09,7008,5421,7276,46993,1740,2026-02-01
2022-10,7554,4829,16492,60469,470,2026-02-01
2022-11,5433,2412,8652,39904,2597,2026-02-01
2022-12,3101,958,3449,12395,729,2026-02-01
2023-01,2516,1238,3500,13327,1397,2026-02-01
2023-02,4184,1579,6429,19692,1994,2026-02-01
2023-03,5765,3838,12620,29412,2088,2026-02-01
2023-04,4644,5521,20555,34871,2401,2026-02-01
2023-05,4068,6594,13848,36911,3253,2026-02-01
2023-06,3258,3217,8313,40062,3142,2026-02-01
2023-07,1285,8231,3006,18268,671,2026-02-01
2023-08,1936,9025,3684,20660,2781,2026-02-01
2023-09,2830,4863,7080,42702,2306,2026-02-01
2023-10,4715,7203,21548,70295,2503,2026-02-01
2023-11,3036,3358,6784,28474,3715,2026-02-01
2023-12,1808,2421,3969,14192,2469,2026-02-01
2024-01,2353,615,4571,12826,2379,2026-02-01
2024-02,3065,1624,5575,19726,2709,2026-02-01
2024-03,3374,2203,15867,29130,2205,2026-02-01
2024-04,3569,8043,22432,38732,3226,2026-02-01
2024-05,3928,8420,17792,46491,4293,2026-02-01
2024-06,3871,7281,9820,39571,3407,2026-02-01
2024-07,2372,2366,3738,17088,3353,2026-02-01
2024-08,2685,2878,2861,14497,3410,2026-02-01
2024-09,4734,2669,6471,32664,3413,2026-02-01
2024-10,6923,7045,23531,70782,2880,2026-02-01
2024-11,6157,4826,11966,41544,3368,2026-02-01
2024-12,2309,2737,3850,7585,3624,2026-02-01
2025-01,3235,891,3558,14221,2389,2026-02-01
2025-02,2752,736,5192,11950,2214,2026-02-01
2025-03,3938,1172,12006,25064,2646,2026-02-01
2025-04,3452,2682,17104,29721,2528,2026-02-01
2025-05,7330,4138,17713,45714,4162,2026-02-01
2025-06,4648,3574,9359,36457,3150,2026-02-01
2025-07,1720,1654,2224,11244,2976,2026-02-01
2025-08,2623,2108,3074,16960,3648,2026-02-01
2025-09,3527,1879,4987,41687,2615,2026-02-01
2025-10,6571,3913,15544,48069,2943,2026-02-01
2025-11,4299,2103,11741,44657,2967,2026-02-01
2025-12,1760,731,3581,11260,2731,2026-02-01
