구분,음식점명,주소,전화번호,데이터기준일자
303,(주)관악 레스토랑,경기도 화성시 동탄구 중리길 183,,2025-11-21
304,(주)미각,"경기도 화성시 동탄구 큰재봉길 23-12, 1층 (동탄구 석우동, 펠리스타)",,2025-11-21
305,(주)칠보농원,경기도 화성시 효행구 매송면 화성로 2419-10,,2025-11-21
306,가야밀면&수제돈까스,"경기도 화성시 효행구 봉담읍 삼천병마로 1079-12, 지하 1층 일부",,2025-11-21
307,갈비명가,경기도 화성시 만세구 향남읍 솔태상두길 2,,2025-11-21
308,개수리막국수 화성안녕점,"경기도 화성시 병점구 효행로 439-2, 1, 2층 전부호 (병점구 안녕동)",,2025-11-21
309,건강밥상 심마니,"경기도 화성시 만세구 꽃내음1길 19-22, 3층 전부호 (만세구 새솔동)",,2025-11-21
310,경복궁동탄점(주)엔타스,"경기도 화성시 동탄구 10용사로 358 (동탄구 능동, 1층)",,2025-11-21
311,고기의 즐거움,"경기도 화성시 동탄구 동탄원천로 163 (동탄구 반송동,(120호))",,2025-11-21
312,곤드레밥집,"경기도 화성시 동탄구 10용사로 404, 1,2,3층 (동탄구 반송동)",,2025-11-21
313,관악정한우,"경기도 화성시 동탄구 중리길 183, 리베라CC클럽하우스 후문동 1층 (동탄구 청계동)",,2025-11-21
314,구좌리얼크니손칼국수,경기도 화성시 병점구 세자로 481 (병점구 안녕동),,2025-11-21
315,금수정,"경기도 화성시 동탄구 동탄역로 102, 1층 1059,1060호 (동탄구 오산동, 동탄역 린스트라우스)",,2025-11-21
316,농가의하루,"경기도 화성시 동탄구 왕배산1길 3-16, 1층 전부호 (동탄구 목동)",,2025-11-21
317,다락골 소머리국밥 방교본점,"경기도 화성시 동탄구 동탄기흥로 147-15, 1동 1층 101호, 102호, 103호 (방교동)",,2025-11-21
318,대게나라동탄점,"경기도 화성시 동탄구 메타폴리스로 53, 1층 108호~112호 (동탄구 반송동, 스타프라자)",,2025-11-21
319,대궐숯불장어촌,"경기도 화성시 동탄구 장지남길3번길 6-2, B동",,2025-11-21
320,대보유통(주)화성(상)휴게소(한식),경기도 화성시 만세구 팔탄면 서해안고속도로 302,,2025-11-21
321,대보유통(주)화성(하)휴게소(양식당),경기도 화성시 만세구 팔탄면 서해안고속도로 301-1,,2025-11-21
322,덕림전통육개장냉면,경기도 화성시 효행구 봉담읍 노루고개길 19,,2025-11-21
324,돈까스 클럽,경기도 화성시 효행구 봉담읍 세자로 408,,2025-11-21
325,동신참치,"경기도 화성시 동탄구 노작로 193, 3층 301호 (동탄구 반송동)",,2025-11-21
326,동오정,경기도 화성시 만세구 향남읍 향봉로10번길 2-1,,2025-11-21
327,동천홍 봉담점,"경기도 화성시 효행구 봉담읍 삼천병마로 1079-12, 2층",,2025-11-21
328,동탄백합칼국수,"경기도 화성시 동탄구 동탄역로 122, 동탄역 그린파킹파크 2층 201.202호 (동탄구 오산동)",,2025-11-21
329,동해복집,"경기도 화성시 동탄구 삼성1로 160 (동탄구 석우동,(디지털스테이션 307. 308호))",,2025-11-21
330,두꺼비한우정육식당,"경기도 화성시 병점구 반월남길 5, 1,2층 일부호 (병점구 반월동)",,2025-11-21
332,만석궁,"경기도 화성시 병점구 안녕길 6, SM스퀘어1 3동 지1층 일부호 (병점구 안녕동)",,2025-11-21
333,맛집 산골통닭,"경기도 화성시 동탄구 동탄순환대로29길 64, 지1층 B103,B104호 (동탄구 영천동)",,2025-11-21
334,망향비빔국수,"경기도 화성시 병점구 효행로1156번길 11, 1층 전체호 (병점구 병점동)",,2025-11-21
335,매송(하)휴게소(매송한상),경기도 화성시 효행구 매송면 서해안고속도로 315,,2025-11-21
337,명품간장게장,경기도 화성시 만세구 남양읍 남양성지로 103 (남양동),,2025-11-21
338,몽연,"경기도 화성시 동탄구 노작로 195, 2층 201,202,203,204호 (동탄구 반송동)",,2025-11-21
339,무봉리토종순대국,경기도 화성시 만세구 향남읍 장안로 904,,2025-11-21
340,무봉산장,"경기도 화성시 동탄구 풀무골로77번길 1, 1층 전체호 (중동)",,2025-11-21
341,백호참치,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-7, 연세 메디칼 프라자 203,204호",,2025-11-21
342,복사꽃피는집(화성융건릉점),"경기도 화성시 병점구 세자로 477, 1,2층 (병점구 안녕동)",,2025-11-21
343,본가 부대찌개,"경기도 화성시 병점구 세자로 451, 1,2층 (병점구 안녕동)",,2025-11-21
344,본가 장수촌,"경기도 화성시 만세구 남양읍 신남안길 264, 가동 1층",,2025-11-21
345,본가갈비탕,경기도 화성시 효행구 비봉면 화성로1616번길 8,,2025-11-21
346,본수원갈비 병점점,경기도 화성시 병점구 병점중앙로211번길 35 (병점구 진안동),,2025-11-21
347,부촌,"경기도 화성시 동탄구 동탄대로 495, 동탄역 리치안 2층 210,211호 (동탄구 오산동)",,2025-11-21
348,비스트로,경기도 화성시 효행구 정남면 세자로 286,,2025-11-21
349,산뜨락 동탄점,"경기도 화성시 동탄구 장지남길 31, 주건축물 제1동 1층 전체호 (동탄구 장지동)",,2025-11-21
350,삼성낙지칼국수,"경기도 화성시 만세구 서신면 바다뜰길 100, 1동 1층",,2025-11-21
351,삿뽀로동탄점(주)엔타스,"경기도 화성시 동탄구 10용사로 358 (동탄구 능동, 2층)",,2025-11-21
352,샤브연리지 동탄능동점,"경기도 화성시 동탄구 동탄지성로 210, 1동 2층 (동탄구 능동)",,2025-11-21
353,소담뜰,"경기도 화성시 만세구 향남읍 배터길 14, 1,2층",,2025-11-21
354,소플러스 동탄역점,"경기도 화성시 동탄구 동탄대로 446, 동탄역 그란비아스타 2층 2001호,2002호,2003호,2004호,2005호 (동탄구 청계동)",,2025-11-21
355,송담추어탕,"경기도 화성시 효행구 봉담읍 세자로 423, 2, 3층",,2025-11-21
356,송도갈매기동탄점,"경기도 화성시 동탄구 동탄지성로 210 (동탄구 능동, 468-2외 1필지 1층)",,2025-11-21
357,송산곤드레밥상,"경기도 화성시 병점구 용주로 127, 1층 전체호 (병점구 송산동)",,2025-11-21
358,송탄나여사부대찌개화성점,경기도 화성시 만세구 남양읍 주석로 228-3 (북양동),,2025-11-21
359,수향한정식,경기도 화성시 동탄구 풀무골로60번길 4-16 (1동 1층),,2025-11-21
360,신라스테이 동탄 카페,"경기도 화성시 동탄구 노작로 161 (동탄구 반송동, 신라스테이 동탄 7층 일부)",,2025-11-21
361,신창기업(주)발리오스컨트리클럽,"경기도 화성시 만세구 팔탄면 3.1만세로 641-28, 주건축물 제 22동",,2025-11-21
362,쌈촌,"경기도 화성시 효행구 봉담읍 동화길 93-8, 203, 204호 (쌍용프라자)",,2025-11-21
363,안녕맛집 바다향 왕코다리,"경기도 화성시 병점구 세자로 480, SM스퀘어1동 1,2층 (병점구 안녕동)",,2025-11-21
364,양심장어 본점,"경기도 화성시 동탄구 동탄중심상가2길 29, 106,107호 (동탄구 반송동)",,2025-11-21
365,어인마니산삼궁,경기도 화성시 동탄구 금곡로 257 ((2층)),,2025-11-21
366,엄니토종추어탕,"경기도 화성시 만세구 남양읍 남양시장로25번길 59 (남양동, 1~2층)",,2025-11-21
367,여명본점,경기도 화성시 효행구 정남면 세자로303번길 11-8,,2025-11-21
368,영천두툼한숯불갈비,"경기도 화성시 병점구 병점로81번길 17 (병점구 진안동, 882-5번지)",,2025-11-21
369,옛순대국,"경기도 화성시 만세구 팔탄면 3.1만세로 745, 1,2동 1층",,2025-11-21
370,우진국설렁탕냉면,"경기도 화성시 병점구 세자로 473 (병점구 안녕동, 1,2층 전체)",,2025-11-21
371,우테일러,"경기도 화성시 동탄구 장지안길 82, 1동 1층 (동탄구 장지동)",,2025-11-21
372,윤딱 정통춘천닭갈비,"경기도 화성시 동탄구 동탄순환대로3가길 14-11, 화이트스케이프 1동 1층 전부호 (동탄구 송동)",0507-1415-5399,2025-11-21
373,이가네 짬뽕맛집,"경기도 화성시 만세구 장안면 3.1만세로 545, 1층",,2025-11-21
374,이가네삼계탕,"경기도 화성시 병점구 병점로81번길 9 (병점구 진안동,(1층 전체))",,2025-11-21
375,장쟁이쌈선생,경기도 화성시 병점구 세자로441번길 3 (병점구 안녕동),,2025-11-21
376,장지리 오리농장,"경기도 화성시 동탄구 장지남길3번길 6-2, A동 1층 (동탄구 장지동)",,2025-11-21
1,장호덕국수&왕돈까스,"경기도 화성시 병점구 효행로 576, 1동 1층",,2025-11-21
377,전국5대짬뽕연화산,경기도 화성시 동탄구 금곡로 257,,2025-11-21
378,정담명가 남원추어탕,"경기도 화성시 병점구 효행로 486, 1층 전체호 (병점구 안녕동)",,2025-11-21
379,제암종가집가든,경기도 화성시 만세구 향남읍 제암고주로 9 (1층),,2025-11-21
380,주식회사 인천생갈비 본관,"경기도 화성시 동탄구 동탄역로 124, 동탄역윤정프라자 2층 201,202호 (동탄구 오산동)",,2025-11-21
381,진리옥 본점,"경기도 화성시 만세구 향남읍 행정서로3길 13, 1층 일부",,2025-11-21
382,진수성찬,"경기도 화성시 동탄구 왕배산1길 8-6, 1층 전체호 (동탄구 목동)",,2025-11-21
383,짬뽕지존 향남점,"경기도 화성시 만세구 향남읍 상신하길로 372, B동1층, A동1층일부",,2025-11-21
384,착한고기동탄광장점,"경기도 화성시 동탄구 동탄중심상가2길 16 (동탄구 반송동, 91-6번지 그린프라자 201호~206호)",,2025-11-21
385,청춘냉면1996,"경기도 화성시 효행구 봉담읍 샘마을길 36, 1층 일부",,2025-11-21
386,초동집,"경기도 화성시 효행구 봉담읍 매봉로 341, 1동 1층 전체호",,2025-11-21
387,탐드,"경기도 화성시 동탄구 동탄기흥로520번가길 40, 1층 전부호 (동탄구 영천동)",,2025-11-21
388,토리메로 동탄역점,"경기도 화성시 동탄구 동탄오산로 86-8, 로얄클래스 1층 109호 (동탄구 오산동)",,2025-11-21
389,페트로스,경기도 화성시 효행구 정남면 세자로 286,,2025-11-21
390,평가옥,"경기도 화성시 동탄구 동탄기흥로257번가길 6, 평가옥푸드시스템 1,2,4층 (방교동)",,2025-11-21
391,포레스트 호수공원점,"경기도 화성시 동탄구 동탄순환대로3길 28-14, 1층 (동탄구 송동)",,2025-11-21
392,한보가든,경기도 화성시 만세구 팔탄면 3.1만세로771번길 25,,2025-11-21
