연번,업종,상영관명,상영관소재지(도로명),상영관소재지(지번),등록일자,데이터기준일자
1,영화상영관,롯데시네마 병점관,"경기도 화성시 병점구 효행로 1052, 씨네샤르망 (병점동)",경기도 화성시 병점구 병점동 844-1,2006-09-25,2026-02-10
2,영화상영관,메가박스 동탄,경기도 화성시 동탄구 동탄지성로 11 (반송동),경기도 화성시 동탄구 반송동 93-2,2010-07-19,2026-02-10
3,영화상영관,CGV 동탄,"경기도 화성시 동탄구 동탄중앙로 220, A동 (반송동,메타폴리스)",경기도 화성시 동탄구 반송동 96,2010-12-21,2026-02-10
4,영화상영관,롯데시네마 향남,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-21, 7층",경기도 화성시 만세구 향남읍 하길리 1470-2,2016-09-22,2026-02-10
5,영화상영관,CGV동탄역,"경기도 화성시 동탄구 동탄대로 537, 5-7층 (오산동)",경기도 화성시 동탄구 오산동 967-150,2018-03-26,2026-02-10
6,영화상영관,CGV화성봉담,"경기도 화성시 효행구 봉담읍 동화길 51, 원희캐슬봉담 221호",경기도 화성시 효행구 봉담읍 동화리 564,2019-08-06,2026-02-10
7,영화상영관,CGV 동탄호수공원,"경기도 화성시 동탄구 동탄대로 181, 레이크꼬모 B2층 (송동)",경기도 화성시 동탄구 송동 694,2020-01-14,2026-02-10
8,영화상영관,롯데시네마 동탄,"경기도 화성시 동탄구 동탄역로 160, 7층 (오산동)",경기도 화성시 동탄구 오산동 1089,2021-08-12,2026-02-10
9,영화상영관,안영채X모노플렉스,"경기도 화성시 동탄구 동탄대로5길 21, 라크몽 지하1층 T-01호 (송동)",경기도 화성시 동탄구 송동 726-1,2022-03-07,2026-02-10
10,영화상영관,화성시 작은영화관,"경기도 화성시 만세구 마도면 마도북로 387, 마도문화센터 3층",경기도 화성시 만세구 마도면 석교리 243-2,2022-11-22,2026-02-10
11,영화상영관,CGV 동탄그랑파사쥬,"경기도 화성시 동탄구 동탄대로5길 9, 더샵 동탄센텀폴리스 1,2단지 5,6층 5064,5001,6001호 (송동)",경기도 화성시 동탄구 송동 725-1,2023-05-12,2026-02-10
12,영화상영관,씨네큐 동탄,"경기도 화성시 동탄구 동탄영천로 150, M동 B201호 (영천동)",경기도 화성시 동탄구 영천동 844-1,2023-11-13,2026-02-10
13,영화상영관,메가박스 동탄역점,"경기도 화성시 동탄구 동탄오산로 29, 지하1층, 지하2층(오산동)",경기도 화성시 동탄구 오산동 979,2025-04-15,2026-02-10
