연번,구분,국가유산명,지정번호,위 치,소유자,문화재 지정일
1,국가지정문화재,용주사 동종,국보제120호,경기도 화성시 병점구 용주로 136,용 주 사,1964-03-30
2,국가지정문화재,화성 봉림사 목조아미타여래좌상,보물제980호,경기도 화성시 만세구 남양읍 주석로80번길 139,봉 림 사,1989-04-10
3,국가지정문화재,봉림사 목조아미타불좌상 복장전적 일괄,보물제1095호,경기도 화성시 병점구 용주로 136,봉 림 사,1991-09-30
4,국가지정문화재,불설대보부모은중경판,보물제1754호,경기도 화성시 병점구 용주로 136,용 주 사,2012-02-22
5,국가지정문화재,안성 청원사 건칠아미타여래좌상 복장전적,보물제1795호,경기도 화성시 병점구 용주로 136,용 주 사,2012-12-27
6,국가지정문화재,화성 용주사 대웅보전,보물제1942호,경기도 화성시 병점구 용주로 136,용 주 사,2017-08-14
7,국가지정문화재,화성 융릉과 건릉,사적제206호,경기도 화성시 효행로 481번길 21-1,국가유산청,1970-05-26
8,국가지정문화재,화성 당성,사적제217호,경기도 화성시 만세구 서신면 상안리 산 32일원,국가유산청,1971-04-15
9,국가지정문화재,"화성 제암리3,1운동순국 유적",사적제299호,경기도 화성시 만세구 향남읍 제암길 50 일원,화 성 시,1982-12-21
10,국가지정문화재,화성 마하리 고분군,사적제451호,경기도 화성시 효행구 봉담읍 마하리 산40번지 일원,화 성 시,2003-08-29
11,국가지정문화재,화성 고정리 공룡알화석 산지,천연기념물제414호,경기도 화성시 만세구 송산면공룡로 659 일원,화 성 시,2000-03-21
12,국가지정문화재,화성 전곡리 물푸레나무,천연기념물제470호,경기도 화성시 만세구 서신면 전곡리 149-2,화 성 시,2006-04-04
13,국가지정문화재,화성 융릉 개비자나무,천연기념물제504호,경기도 화성시 효행로481번길 21 융릉재실 내,국가유산청,2009-09-16
14,국가지정문화재,화성 뿔공룡 (코리아케라톱스 화성엔시스) 골격 화석,천연기념물제571호,경기도 화성시 만세구 송산면 공룡로 659,화성시,2022-10-07
15,국가지정문화재,화성 정시영 고택,민속문화재제124호,경기도 화성시 만세구 서신면 오얏리길 44-12,정00,1984-01-14
16,국가지정문화재,화성 정수영 고택,민속문화재제125호,경기도 화성시 만세구 서신면 오얏리길 56,화 성 시,1984-01-14
17,도지정문화재,금동향로,유형문화유산 제11호,경기도 화성시 병점구 용주로 136,용주사,1972-05-04
18,도지정문화재,청동향로,유형문화유산 제12호,경기도 화성시 병점구 용주로 136,용주사,1972-05-04
19,도지정문화재,용주사 ,유형문화유산 제13호,경기도 화성시 병점구 용주로 136,용주사,1972-05-04
20,도지정문화재,전적수사본,유형문화유산 제14호,경기도 화성시 병점구 용주로 136,용주사,1972-05-04
21,도지정문화재,용주사 병풍,유형문화유산 제15호,경기도 화성시 병점구 용주로 136,용주사,1972-05-04
22,도지정문화재,용주사 대웅전 후불탱화,유형문화유산 제16호,경기도 화성시 병점구 용주로 136,용주사,1972-05-04
23,도지정문화재,윤계선생순절비,유형문화유산 제85호,경기도 화성시 만세구 남양읍 남양리 1390-1 일원,화성시,1979-09-03
24,도지정문화재,계갑일록 및 관련문서,유형문화유산 제187호,경기도 화성시 만세구 향남읍 행정동로 96 ,우광성/,2003-04-25
25,도지정문화재,화성 용주사 오층석탑,유형문화유산 제212호,경기도 화성시 병점구 용주로 136,용주사,2009-03-10
26,도지정문화재,화성 용주사 대웅보전 목조삼세불좌상,유형문화유산 제214호,경기도 화성시 병점구 용주로 136,용주사,2009-03-10
27,도지정문화재,화성 용주사 목조감실,유형문화유산 제222호,경기도 화성시 병점구 용주로 136,용주사,2009-05-21
28,도지정문화재,화성 용주사 지장전 목조지장보살좌상과 시왕상 일괄,유형문화유산 제223호,경기도 화성시 병점구 용주로 136,용주사,2009-05-21
