연번,사업장명,업종명,인허가일자,사업장전화번호,면적,소재지도로명주소,소재지지번주소,데이터갱신일자
1,호박꽃마차 화성봉담점,일반음식점,2024-01-02,,103.74,"경기도 화성시 효행구 봉담읍 장등2길 16-32, 1층",경기도 화성시 효행구 봉담읍 상리 639-4 ,2026-06-25
2,채선당자연한가득화성봉담점,일반음식점,2024-01-02,,213.77,"경기도 화성시 효행구 봉담읍 상리중심상가길 28-8, 2층 213-214호",경기도 화성시 효행구 봉담읍 상리 688-2 2층 213-214호 ,2026-06-25
3,인더비엣봉담점,일반음식점,2024-01-02,,133.96,"경기도 화성시 효행구 봉담읍 동화길 51, 1층 146,147,148호",경기도 화성시 효행구 봉담읍 동화리 564 ,2026-06-25
4,신미돈,일반음식점,2024-01-04,,93.1,"경기도 화성시 효행구 봉담읍 참샘길 27, 리젠트프라자 102,103호",경기도 화성시 효행구 봉담읍 와우리 31-16 리젠트프라자 ,2026-06-25
5,피자스톰 봉담점,일반음식점,2024-01-05,,32.28,"경기도 화성시 효행구 봉담읍 샘마을길 27, 1층 일부호(104호)",경기도 화성시 효행구 봉담읍 상리 21-3 1층 일부호(104호) ,2026-06-25
6,미주정원,일반음식점,2024-01-05,,196,"경기도 화성시 효행구 정남면 서봉로 958, 1층 일부호",경기도 화성시 효행구 정남면 문학리 525-1 ,2026-06-25
7,매송한식뷔페,일반음식점,2024-01-05,,148,"경기도 화성시 효행구 매송면 화성로 2360, 1층 일부호",경기도 화성시 효행구 매송면 원평리 133-3 ,2026-06-25
8,안다미로,일반음식점,2024-01-05,,32.2,"경기도 화성시 효행구 기배로 29, 217동 110호 (기안동, 화성 우방 아이유쉘 MEGA CITY 2단지)",경기도 화성시 효행구 기안동 928 화성 우방 아이유쉘 MEGA CITY 2단지 217동 110호,2026-06-25
9,된장박이 삼겹살 좋구만 화성봉담점,일반음식점,2024-01-12,,82.48,"경기도 화성시 효행구 봉담읍 상리중심상가길 28-8, 120,121호",경기도 화성시 효행구 봉담읍 상리 688-2 ,2026-06-25
10,돈돼지,일반음식점,2024-01-16,,68.29,"경기도 화성시 효행구 봉담읍 동화길 93-16, 107~108호",경기도 화성시 효행구 봉담읍 동화리 600-1 ,2026-06-25
11,백암토종순대국,일반음식점,2024-01-22,,,"경기도 화성시 효행구 효행로 241, 남수원씨티프라자 1층 114호 (기안동)",경기도 화성시 효행구 기안동 338-3 남수원씨티프라자 1층114호,2026-06-25
12,펀비어킹 비봉상업지구점,일반음식점,2024-01-22,,115.12,"경기도 화성시 효행구 비봉면 간곡1길 26, 1층",경기도 화성시 효행구 비봉면 삼화리 0 ,2026-06-25
13,화성봉담맛집 오늘은족발보쌈,일반음식점,2024-01-22,,71.76,"경기도 화성시 효행구 봉담읍 상리2길 97, 101,102호",경기도 화성시 효행구 봉담읍 상리 685-4 ,2026-06-25
14,치담고 치킨,일반음식점,2024-01-24,,42.61,"경기도 화성시 효행구 봉담읍 참샘길 33, 115호 (해오름마을봉담그대가2단지아파트)",경기도 화성시 효행구 봉담읍 와우리 240 해오름마을봉담그대가2단지아파트 ,2026-06-25
15,프레드피자,일반음식점,2024-01-30,,55.88,"경기도 화성시 효행구 봉담읍 상봉길 31, 지맨프라자 111호",경기도 화성시 효행구 봉담읍 상리 11-47 지맨프라자 ,2026-06-25
16,정가순대,일반음식점,2024-02-01,,204,"경기도 화성시 효행구 봉담읍 최루백로 198, 라동 1층",경기도 화성시 효행구 봉담읍 분천리 96-13 ,2026-06-25
17,다연이네김밥분식,일반음식점,2024-02-01,,32.01,"경기도 화성시 효행구 봉담읍 장등2길 6-14, 104호",경기도 화성시 효행구 봉담읍 상리 637-6 ,2026-06-25
18,오늘도 낙곱새 봉담2지구 본점,일반음식점,2024-02-13,,52.85,"경기도 화성시 효행구 봉담읍 상리중심상가길 28-8, 103호",경기도 화성시 효행구 봉담읍 상리 688-2 ,2026-06-25
